This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:    30992
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2180
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2079
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.9809861e+03 1.18e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.9809834e+03 1.16e+00 2.80e+01  -2.2 8.51e-01    -  5.62e-01 1.98e-02h  1
   2  1.9811223e+03 7.74e-01 6.06e+00  -1.1 4.64e+00    -  9.87e-01 1.00e+00f  1
   3  1.9810037e+03 1.85e-01 5.57e-01  -1.7 2.07e+00    -  9.46e-01 1.00e+00h  1
   4  1.9807519e+03 4.77e-01 3.74e-01  -2.3 2.76e+00    -  7.62e-01 1.00e+00h  1
   5  1.9805738e+03 1.71e+00 2.55e-01  -2.8 9.35e+00    -  4.06e-01 6.75e-01h  1
   6  1.9804444e+03 3.88e+00 3.21e-01  -1.9 1.16e+01    -  1.05e-01 7.14e-01h  1
   7  1.9803980e+03 8.22e-01 1.32e-01  -2.4 4.01e+00    -  3.69e-02 9.99e-01h  1
   8  1.9803364e+03 4.62e-01 4.40e-01  -2.7 3.43e+00    -  6.57e-01 1.00e+00h  1
   9  1.9802988e+03 1.70e-01 3.32e-01  -2.2 1.15e+00    -  1.00e+00 7.63e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.9803044e+03 2.02e-01 3.22e-01  -2.4 1.45e+00    -  8.98e-01 1.00e+00h  1
  11  1.9803125e+03 1.03e-01 1.85e-01  -2.1 1.51e+00    -  7.96e-01 8.36e-01h  1
  12  1.9802745e+03 2.78e-01 3.42e-01  -2.2 2.91e+00    -  3.51e-01 1.00e+00h  1
  13  1.9802537e+03 2.90e-01 3.78e-01  -2.2 4.63e+00    -  8.10e-01 5.00e-01h  2
  14  1.9802518e+03 7.51e-01 7.82e-01  -2.2 9.85e+00    -  9.27e-01 2.15e-01H  1
  15  1.9802312e+03 2.36e-01 2.36e-01  -2.2 2.32e+00    -  9.53e-01 1.00e+00h  1
  16  1.9802200e+03 9.38e-01 3.61e-01  -1.8 1.33e+01    -  7.08e-01 2.06e-01h  2
  17  1.9801922e+03 5.27e-01 3.36e-01  -2.0 3.35e+00    -  7.99e-01 1.00e+00h  1
  18  1.9801702e+03 1.07e-01 8.05e-02  -2.5 1.40e+00    -  9.83e-01 1.00e+00h  1
  19  1.9801628e+03 1.58e-01 1.09e-01  -2.8 2.63e+00    -  8.07e-01 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.9801555e+03 1.76e-01 1.42e-01  -2.5 3.51e+00    -  1.00e+00 1.81e-01h  3
  21  1.9801446e+03 1.07e-01 1.66e-01  -2.8 3.78e+00    -  4.33e-01 4.52e-01h  2
  22  1.9801325e+03 3.07e-01 2.67e-01  -2.6 1.19e+01    -  6.79e-01 2.29e-01h  2
  23  1.9801208e+03 9.57e-01 2.31e-01  -2.6 6.35e+00    -  9.81e-01 5.00e-01h  2
  24  1.9801582e+03 2.25e+00 3.18e-01  -2.9 3.30e+00    -  2.52e-01 4.34e-01H  1
  25  1.9801421e+03 7.59e-01 1.54e-01  -2.7 2.95e+00    -  3.51e-01 6.79e-01h  1
  26  1.9801450e+03 5.12e-01 6.63e-02  -2.7 2.53e+00    -  2.62e-01 7.81e-01h  1
  27  1.9801491e+03 4.55e-01 6.65e-02  -2.8 2.30e+00    -  1.00e+00 8.61e-01h  1
  28  1.9801331e+03 2.56e-01 4.49e-02  -2.8 2.97e+00    -  5.16e-01 4.63e-01h  1
  29  1.9801197e+03 1.78e-01 1.52e-01  -3.0 1.15e+00    -  9.09e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.9801155e+03 9.46e-02 4.60e-02  -3.0 7.39e-01    -  9.22e-01 1.00e+00h  1
  31  1.9801086e+03 4.63e-02 5.48e-02  -3.2 4.97e-01    -  1.00e+00 7.92e-01h  1
  32  1.9801243e+03 2.79e-02 4.44e-02  -3.6 8.33e-01    -  9.93e-01 1.00e+00h  1
  33  1.9801092e+03 4.56e-03 3.87e-02  -3.7 7.66e-01    -  9.86e-01 1.00e+00h  1
  34  1.9801084e+03 3.15e-03 1.20e-01  -4.0 1.29e-01    -  1.00e+00 4.16e-01h  1
  35  1.9801078e+03 3.55e-03 3.05e-02  -4.0 1.65e-01    -  1.00e+00 1.00e+00h  1
  36  1.9801071e+03 8.34e-03 9.18e-02  -4.0 2.08e-01    -  1.00e+00 1.00e+00h  1
